What will the day be like?,forecast
How will today be?,forecast
Will today be nice?,forecast
What will today be like?,forecast
What is ahead of me today?,forecast
Is today going to be good?,forecast
Is today going to be nice?,forecast
How am I doing?,forecast
How is my mood now?,forecast
What is ahead of me?,forecast
How is today looking?,forecast
What is my expected mood?,forecast
Will everything be fine?,forecast
Is everything going to be good?,forecast
What is my day going to look like?,forecast
What is my mood going to be?,forecast
What are the high and low of my mood?,forecast
When is my mood going to be high?,forecast
What is my mood going to be good?,forecast
When can I expect to be happiest?,forecast
When is my mood going to be low?,forecast
Should I prepare for extreme amounts of happiness?,forecast
When will my mood peak?,forecast
Am I going to be ok later today?,forecast
Will I be under the weather?,conditions
Will I be excited?,conditions
Will all my dreams come true?,conditions
Will I be cheerful?,conditions
Will I eat my favorite food?,conditions
Will unicorns fall from the sky?,conditions
Will I ride a unicorn today?,conditions
Is there a lot of work?,conditions
Will I win the lottery?,conditions
Will something sad happen today?,conditions
Will I get angry?,conditions
Will I get frustrated?,conditions
How many puppies will I get to pet?,conditions
How many kitties will I hold?,conditions
Will I drown in tiny animals today?,conditions
How many baby animals will I be buried in?,conditions
Will I save Gotham from certain doom?,conditions
Will disgusting amounts of money make up for the death of my parents?,conditions
How much coffee will I need to get through today?,conditions
Will I impress all my colleagues today?,conditions
Will my hard work go noticed?,conditions
Will time fly?,conditions
Will I stop to smell the flowers?,conditions
Will there be any flowers to smell?,conditions
Is IBM Watson the coolest?,conditions
Will I get this internship at IBM Watson?,conditions
